"Date","Price","Open","High","Low","Vol.","Change %"
"20-07-2026","24,238.50","24,190.05","24,264.60","24,136.85","353.10M","-0.39%"
"17-07-2026","24,334.30","24,127.60","24,367.30","24,099.05","387.77M","1.09%"
"16-07-2026","24,072.75","24,142.10","24,186.50","24,050.00","264.27M","-0.02%"
"15-07-2026","24,078.50","24,085.85","24,220.35","24,010.55","306.92M","0.11%"
"14-07-2026","24,052.05","24,068.00","24,157.10","24,023.70","355.83M","-0.66%"
"13-07-2026","24,211.00","24,039.40","24,259.80","24,000.20","322.68M","0.02%"
"10-07-2026","24,206.90","24,124.70","24,228.45","24,120.35","313.07M","1.02%"
"09-07-2026","23,962.80","23,928.95","24,134.70","23,925.70","384.80M","0.34%"
"08-07-2026","23,882.05","24,259.55","24,300.00","23,805.20","420.53M","-2.12%"
"07-07-2026","24,398.70","24,464.45","24,530.90","24,348.95","412.62M","-0.13%"
"06-07-2026","24,430.35","24,306.85","24,458.65","24,287.10","329.36M","0.66%"
"03-07-2026","24,270.85","24,375.65","24,378.15","24,252.35","326.63M","0.39%"
"02-07-2026","24,175.70","24,062.20","24,194.55","24,058.80","372.94M","0.71%"
"01-07-2026","24,005.85","23,897.65","24,049.90","23,895.10","352.15M","0.59%"
"30-06-2026","23,865.75","24,032.05","24,035.55","23,829.20","449.04M","-0.34%"
"29-06-2026","23,946.25","24,061.75","24,120.00","23,924.55","588.50M","-0.46%"
"25-06-2026","24,056.00","24,125.85","24,261.60","24,039.00","448.75M","0.14%"
"24-06-2026","24,021.65","23,795.80","24,090.05","23,789.25","395.58M","0.83%"
"23-06-2026","23,824.10","24,071.30","24,135.50","23,784.95","340.09M","-1.16%"
"22-06-2026","24,102.90","24,106.60","24,168.05","24,073.15","252.82M","0.37%"
"19-06-2026","24,013.10","23,991.20","24,047.20","23,901.90","447.86M","-0.64%"
"18-06-2026","24,168.00","24,073.80","24,189.25","24,036.95","339.99M","0.34%"
"17-06-2026","24,085.70","24,044.50","24,108.20","23,969.70","352.67M","0.40%"
"16-06-2026","23,989.15","23,923.90","24,002.60","23,888.20","327.31M","0.57%"
"15-06-2026","23,853.90","23,984.85","24,011.40","23,817.80","398.91M","0.98%"
"12-06-2026","23,622.90","23,412.55","23,645.35","23,313.90","351.94M","1.99%"
"11-06-2026","23,161.60","23,104.40","23,327.45","23,072.05","363.00M","-0.23%"
"10-06-2026","23,214.95","23,233.95","23,425.35","23,184.60","380.03M","-0.12%"
"09-06-2026","23,242.10","23,259.05","23,279.40","23,104.45","402.55M","0.52%"
"08-06-2026","23,123.00","23,080.70","23,267.30","23,070.15","375.73M","-1.04%"
"05-06-2026","23,366.70","23,478.95","23,516.35","23,282.65","366.21M","-0.21%"
"04-06-2026","23,416.55","23,282.45","23,465.30","23,247.30","412.51M","0.05%"
"03-06-2026","23,405.60","23,415.95","23,459.65","23,151.50","450.08M","-0.33%"
"02-06-2026","23,483.55","23,229.15","23,556.95","23,229.15","511.85M","0.43%"
"01-06-2026","23,382.60","23,654.50","23,733.70","23,357.95","421.69M","-0.70%"
"29-05-2026","23,547.75","23,902.15","24,002.80","23,484.75","1.20B","-1.50%"
"27-05-2026","23,907.15","23,880.35","23,983.20","23,858.25","531.57M","-0.03%"
"26-05-2026","23,913.70","24,004.10","24,089.80","23,885.45","387.93M","-0.49%"
"25-05-2026","24,031.70","23,940.25","24,054.45","23,922.85","351.22M","1.32%"
"22-05-2026","23,719.30","23,671.20","23,835.65","23,671.00","336.11M","0.27%"
"21-05-2026","23,654.70","23,830.05","23,859.90","23,596.60","348.18M","-0.02%"
"20-05-2026","23,659.00","23,457.25","23,690.90","23,397.30","344.05M","0.17%"
"19-05-2026","23,618.00","23,675.30","23,782.30","23,587.20","441.95M","-0.14%"
"18-05-2026","23,649.95","23,482.20","23,695.65","23,317.10","391.97M","0.03%"
"15-05-2026","23,643.50","23,731.40","23,839.30","23,610.30","408.86M","-0.19%"
"14-05-2026","23,689.60","23,530.25","23,777.20","23,426.55","428.74M","1.18%"
"13-05-2026","23,412.60","23,362.45","23,582.95","23,262.55","415.36M","0.14%"
"12-05-2026","23,379.55","23,722.60","23,757.55","23,348.40","447.52M","-1.83%"
"11-05-2026","23,815.85","23,970.10","23,997.45","23,799.10","390.11M","-1.49%"
"08-05-2026","24,176.15","24,233.65","24,253.80","24,126.65","335.89M","-0.62%"
"07-05-2026","24,326.65","24,398.50","24,482.10","24,284.00","440.62M","-0.02%"
"06-05-2026","24,330.95","24,171.00","24,356.50","23,997.90","429.19M","1.24%"
"05-05-2026","24,032.80","24,052.60","24,081.70","23,882.05","363.30M","-0.36%"
"04-05-2026","24,119.30","24,063.55","24,290.20","24,004.75","419.07M","0.51%"
"30-04-2026","23,997.55","23,996.95","24,087.45","23,796.85","505.52M","-0.74%"
"29-04-2026","24,177.65","24,096.90","24,334.70","24,059.95","531.12M","0.76%"
"28-04-2026","23,995.70","24,049.90","24,181.80","23,957.05","554.13M","-0.40%"
"27-04-2026","24,092.70","23,945.45","24,130.70","23,936.20","430.30M","0.81%"
"24-04-2026","23,897.95","24,100.55","24,206.00","23,813.65","438.43M","-1.14%"
"23-04-2026","24,173.05","24,202.35","24,310.20","24,134.80","467.55M","-0.84%"
"22-04-2026","24,378.10","24,470.85","24,515.95","24,352.90","440.52M","-0.81%"
"21-04-2026","24,576.60","24,374.55","24,601.70","24,354.90","425.83M","0.87%"
"20-04-2026","24,364.85","24,391.50","24,480.65","24,241.25","415.94M","0.05%"
"17-04-2026","24,353.55","24,165.90","24,371.90","24,096.05","498.63M","0.65%"
